improving_parameter,worsening_parameter,recommended_principles,principle_names
14,38,15;35;38,"Dynamics;Parameter changes;Accelerated oxidation"
14,39,15;35;39;40,"Dynamics;Parameter changes;Inert atmosphere;Composite materials"
15,1,1;15;35,"Segmentation;Dynamics;Parameter changes"
15,14,8;15;35,"Anti-weight;Dynamics;Parameter changes"
15,19,15;35;18,"Dynamics;Parameter changes;Mechanical vibration"
15,27,13;15;35,"The other way round;Dynamics;Parameter changes"
16,1,1;16;35,"Segmentation;Partial action;Parameter changes"
16,14,8;16;35,"Anti-weight;Partial action;Parameter changes"
17,1,1;17;35,"Segmentation;Another dimension;Parameter changes"
17,14,8;17;35,"Anti-weight;Another dimension;Parameter changes"
17,19,17;35;36,"Another dimension;Parameter changes;Phase transitions"
18,1,1;18;35,"Segmentation;Mechanical vibration;Parameter changes"
18,9,15;18;28,"Dynamics;Mechanical vibration;Mechanics substitution"
18,14,8;18;35,"Anti-weight;Mechanical vibration;Parameter changes"
18,19,18;35;28,"Mechanical vibration;Parameter changes;Mechanics substitution"
19,1,2;15;35,"Taking out;Dynamics;Parameter changes"
19,2,15;35;36,"Dynamics;Parameter changes;Phase transitions"
19,3,15;35;36,"Dynamics;Parameter changes;Phase transitions"
19,4,15;35;36,"Dynamics;Parameter changes;Phase transitions"
19,5,15;35;36,"Dynamics;Parameter changes;Phase transitions"
19,6,15;35;36,"Dynamics;Parameter changes;Phase transitions"
19,7,15;35;36,"Dynamics;Parameter changes;Phase transitions"
19,8,15;35;18,"Dynamics;Parameter changes;Mechanical vibration"
19,9,15;2;35;18,"Dynamics;Taking out;Parameter changes;Mechanical vibration"
19,10,15;35;18,"Dynamics;Parameter changes;Mechanical vibration"
19,11,15;35;18,"Dynamics;Parameter changes;Mechanical vibration"
19,12,15;35;18,"Dynamics;Parameter changes;Mechanical vibration"
19,13,15;35;18,"Dynamics;Parameter changes;Mechanical vibration"
19,14,15;35;18,"Dynamics;Parameter changes;Mechanical vibration"
19,15,15;35;18,"Dynamics;Parameter changes;Mechanical vibration"
19,16,15;35;18,"Dynamics;Parameter changes;Mechanical vibration"
19,17,15;35;36,"Dynamics;Parameter changes;Phase transitions"
19,21,15;19;35,"Dynamics;Periodic action;Parameter changes"
19,22,15;35;36,"Dynamics;Parameter changes;Phase transitions"
19,23,15;23;35,"Dynamics;Feedback;Parameter changes"
19,27,13;22;35,"The other way round;Blessing in disguise;Parameter changes"
19,28,15;28;35,"Dynamics;Mechanics substitution;Parameter changes"
19,39,15;35;36,"Dynamics;Parameter changes;Phase transitions"
